time_ns,time_s,q0,q1,q2,q3,q4,q5
1778147912718556274,1778147912.7185562,-2.2685330549823206,-0.985136405830719,-1.9156886339187622,-1.2381782990745087,1.0176454782485962,0.7405869960784912
1778147912736249216,1778147912.7362494,-2.268484894429342,-0.9851280015758057,-1.9156886339187622,-1.2381742757609864,1.0176573991775513,0.740587055683136
1778147912756346196,1778147912.7563462,-2.2685168425189417,-0.9850585621646424,-1.9156639575958252,-1.2381943625262757,1.0176454782485962,0.7405549883842468
1778147912776235812,1778147912.7762358,-2.2684806028949183,-0.9850834173015137,-1.9156928062438965,-1.2381985944560547,1.01762056350708,0.7405829429626465
1778147912796277145,1778147912.7962773,-2.2685492674456995,-0.9851077956012269,-1.9157005548477173,-1.2381659013083954,1.0176246166229248,0.740578830242157
1778147912816635175,1778147912.8166351,-2.2685087362872522,-0.985091821556427,-1.9156277179718018,-1.2381576162627717,1.017649531364441,0.7405509352684021
1778147912836283907,1778147912.836284,-2.26854116121401,-0.9851197165301819,-1.9157088994979858,-1.2381782990745087,1.017608642578125,0.7405751347541809
1778147912856433580,1778147912.8564339,-2.268585983906881,-0.9851113718799134,-1.9157087802886963,-1.2381616693786164,1.0176045894622803,0.740542471408844
1778147912876448825,1778147912.8764489,-2.2685211340533655,-0.9850668472102662,-1.91572904586792,-1.2381943327239533,1.0176246166229248,0.7405989766120911
1778147912896369299,1778147912.8963695,-2.26854116121401,-0.985123948459961,-1.9157047271728516,-1.2381985944560547,1.0176572799682617,0.740542471408844
1778147912916290551,1778147912.9162908,-2.2685611883746546,-0.9850994509509583,-1.9156520366668701,-1.238214598303177,1.0176045894622803,0.7405468821525574
1778147912936260502,1778147912.9362607,-2.268528763447897,-0.9851037424853821,-1.9157124757766724,-1.2382181149772187,1.0175801515579224,0.7405829429626465
1778147912956397909,1778147912.956398,-2.268557373677389,-0.985095278625824,-1.9156969785690308,-1.2381415528110047,1.017653226852417,0.7405383586883545
1778147912976357971,1778147912.976358,-2.268545452748434,-0.9850953382304688,-1.9156681299209595,-1.2381540101817627,1.01762056350708,0.7405710220336914
1778147912996398256,1778147912.9963984,-2.2685368696795862,-0.9850834173015137,-1.9157005548477173,-1.2381943625262757,1.0176045894622803,0.74057936668396
1778147913016265549,1778147913.0162656,-2.2685168425189417,-0.9850834173015137,-1.915659785270691,-1.2382146281054993,1.0176002979278564,0.7405989766120911
1778147913036392518,1778147913.0363925,-2.2684763113604944,-0.9850626152804871,-1.9156402349472046,-1.2381985944560547,1.017584204673767,0.7405750751495361
