time_ns,time_s,qd0,qd1,qd2,qd3,qd4,qd5
1778147626713963872,1778147626.713964,4.794872596522787e-25,-0.0,-0.0,0.0,0.0,0.0
1778147626733975291,1778147626.7339754,2.3739435202285625e-31,-0.0,-0.0,0.0,0.0,0.0
1778147626753900468,1778147626.7539008,1.1753408806144747e-37,-0.0,-0.0,0.0,0.0,0.0
1778147626773922458,1778147626.7739227,5.885453550164232e-44,-0.0,-0.0,0.0,0.0,0.0
1778147626793843015,1778147626.793843,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626813847156,1778147626.813847,0.0,-0.0,-0.0,0.0,0.0,-9.680090442998335e-05
1778147626833928253,1778147626.8339283,0.0,-0.0,-0.0,0.0,0.0,-1.9751025755750232e-19
1778147626853884750,1778147626.8538847,0.0,-0.0,-0.0,0.0,0.0,-1.5437516636111493e-39
1778147626874203550,1778147626.8742037,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626893921390,1778147626.8939214,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626913998397,1778147626.9139984,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626934222072,1778147626.9342222,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626953867071,1778147626.9538672,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626973984106,1778147626.973984,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626993929785,1778147626.9939299,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627013954941,1778147627.0139549,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627037370732,1778147627.0373707,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627053932358,1778147627.0539324,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627074819371,1778147627.0748193,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627093885081,1778147627.0938852,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627113892108,1778147627.1138923,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627133889333,1778147627.1338894,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627154023975,1778147627.1540241,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627175482695,1778147627.1754827,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627193973283,1778147627.1939733,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627213932740,1778147627.213933,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627233855890,1778147627.2338562,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627254012750,1778147627.2540128,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627273810477,1778147627.2738106,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627294651003,1778147627.294651,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627314802912,1778147627.3148031,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627334030924,1778147627.3340309,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627353779602,1778147627.3537798,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627374046843,1778147627.3740468,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627393861916,1778147627.393862,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627413829603,1778147627.4138298,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627434083462,1778147627.4340837,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627453862641,1778147627.4538627,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627473909971,1778147627.47391,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627495194826,1778147627.495195,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627513858384,1778147627.5138583,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627533888018,1778147627.533888,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627554042843,1778147627.554043,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627573962748,1778147627.573963,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627593892431,1778147627.5938926,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627613965862,1778147627.613966,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627633808818,1778147627.633809,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627653860950,1778147627.653861,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627673868415,1778147627.6738684,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627693901305,1778147627.6939015,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627713958619,1778147627.7139587,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627733788175,1778147627.7337883,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627754000030,1778147627.7540002,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627777720989,1778147627.7777212,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627793965607,1778147627.7939656,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627814005441,1778147627.8140056,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627833846365,1778147627.8338463,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627854049779,1778147627.85405,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627873824305,1778147627.8738244,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627894025986,1778147627.894026,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147627913902909,1778147627.913903,2.1200690508704767e-11,-0.0,-0.0,0.0,0.0,0.0
1778147627933949057,1778147627.9339492,1.0496472814225305e-17,-0.0,-0.0,0.0,0.0,0.0
1778147627953981628,1778147627.9539819,5.196809750899763e-24,-0.0,-0.0,0.0,0.0,0.0
1778147627973771728,1778147627.9737718,2.5729430999385896e-30,-0.0,-0.0,0.0,0.0,0.0
1778147627993929544,1778147627.9939296,1.2738655927009914e-36,-0.0,-0.0,0.0,0.0,0.0
1778147628014703497,1778147628.0147038,6.305843089461677e-43,-0.0,-0.0,0.0,0.0,0.0
1778147628033946193,1778147628.0339463,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628056362072,1778147628.0563622,0.0,-0.0,6.308610855931818e-10,0.0,0.0,0.0
1778147628073891702,1778147628.0738916,0.0,-0.0,8.884270922255587e-27,0.0,0.0,0.0
1778147628093996865,1778147628.093997,0.0,-0.0,1.401298464324817e-45,0.0,0.0,0.0
1778147628113822693,1778147628.113823,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628133873822,1778147628.133874,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628153870530,1778147628.1538708,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628173939254,1778147628.1739392,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628193957427,1778147628.1939576,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628213983220,1778147628.2139833,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628233982013,1778147628.233982,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628254034485,1778147628.2540345,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628273856117,1778147628.2738562,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628293927935,1778147628.2939281,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628313872067,1778147628.3138723,0.0,-0.0,-0.0,0.0,0.0,-5.441730399624589e-11
1778147628338446610,1778147628.3384466,0.0,-0.0,-0.0,0.0,0.0,-4.048764720469931e-35
1778147628354042196,1778147628.3540423,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628373847895,1778147628.373848,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628394010344,1778147628.3940105,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628415602816,1778147628.4156027,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628434068135,1778147628.4340684,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628453885785,1778147628.4538858,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628474143300,1778147628.4741433,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628493918912,1778147628.4939191,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628513964256,1778147628.5139644,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628533859864,1778147628.53386,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628553857575,1778147628.5538576,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628573937256,1778147628.5739372,0.0,-0.0,-0.0,0.0,0.0,0.0
