time_ns,time_s,x,y,z,rx,ry,rz
1778147018105914022,1778147018.105914,-0.40748745850448514,-0.033912857855051624,0.8092477705805712,-1.8082364984668484,-1.7490991004678869,0.7558143276589334
1778147018125708550,1778147018.1257086,-0.40747503496092485,-0.03393795163697416,0.8092407682446849,-1.808202753973801,-1.7491746813396152,0.7559062089157683
1778147018145708961,1778147018.1457093,-0.40750816868761947,-0.03393059319117231,0.809208400589455,-1.8082432839895868,-1.7491408560170407,0.7557071764273874
1778147018165706535,1778147018.1657066,-0.4075061203210358,-0.033934468581005184,0.8091943456383929,-1.808267560745758,-1.7491525058038848,0.7557615404714362
1778147018185797369,1778147018.1857975,-0.4074893644910923,-0.03392096368542394,0.809231746297596,-1.808226526529238,-1.7491461590496675,0.755834004984078
1778147018205789333,1778147018.2057896,-0.4074960552445255,-0.03391934181652845,0.8091913522182119,-1.8082607659776544,-1.7491385762901699,0.7557089329697911
1778147018225741911,1778147018.2257419,-0.40749818287694156,-0.03391103688192777,0.8092210840349441,-1.8082457298126982,-1.7490789526384285,0.755814019471635
1778147018245816230,1778147018.2458165,-0.40749791897604554,-0.0339287836083402,0.8092054949606579,-1.8082034202891772,-1.7491720155319634,0.7558055267317918
1778147018265729539,1778147018.2657297,-0.40749728683017494,-0.03392450715365613,0.8092233172908416,-1.8082498034291223,-1.7491069363741714,0.7558080503660756
1778147018285767953,1778147018.285768,-0.40751891904550763,-0.033942005440740775,0.8091843737308522,-1.8082763077565422,-1.7491524295623733,0.7557114813770845
1778147018305755100,1778147018.3057551,-0.40750678478792723,-0.03391295321079688,0.8092165764297297,-1.808287406311034,-1.7490749485228965,0.7557429482024453
1778147018325807768,1778147018.325808,-0.4075100934680538,-0.03393344606595471,0.8092012773812909,-1.8082594905755003,-1.7491689251175107,0.7557413442519106
1778147018345790237,1778147018.3457904,-0.4075135594379299,-0.03394568015228303,0.8091816808323142,-1.808240561716843,-1.7491502622154211,0.7557660129376409
1778147018365668618,1778147018.3656688,-0.4075046219179905,-0.03393008634555384,0.809199322270744,-1.8082393521129423,-1.7491422499454388,0.7557507510884776
1778147018385742191,1778147018.3857422,-0.40749849673458033,-0.03390619295264911,0.8092331569272807,-1.8082398210387813,-1.7490616653924544,0.7558114869904459
1778147018408165818,1778147018.408166,-0.4075108953455314,-0.033918804464399266,0.8091981944369022,-1.808313209676398,-1.749117207870373,0.755684014249965
1778147018425778900,1778147018.425779,-0.40749943484892126,-0.0339180048673831,0.809208006601142,-1.8083023043011384,-1.749101110195871,0.7558231593600423
1778147018445787223,1778147018.4457872,-0.4074934337108494,-0.033904669996519955,0.8091995887970814,-1.8082792333354691,-1.7490803095294503,0.7557482405302909
1778147018465784344,1778147018.4657845,-0.40750381176479583,-0.03391368263947021,0.8091830215342934,-1.8082534107854518,-1.7491094837722423,0.7557416287334924
1778147018485703125,1778147018.4857032,-0.4074789328805724,-0.03390592012847476,0.8092374994491334,-1.8082621564058798,-1.7490881028608662,0.755905882814192
1778147018505763858,1778147018.505764,-0.4074931537358426,-0.033928218897173214,0.8092184914529446,-1.8082408496167504,-1.7491381189307693,0.7558067590101599
1778147018525866332,1778147018.5258663,-0.40750075942182235,-0.03391689874362595,0.8092022698591839,-1.808287978354128,-1.7491011947966553,0.7557726625079229
1778147018545987031,1778147018.5459871,-0.40748980703244864,-0.03391641100066383,0.8092164046124211,-1.80823516760595,-1.7491095942801478,0.7558017192684812
1778147018565828467,1778147018.5658286,-0.4075030708501115,-0.033927068883965524,0.809195947858347,-1.8082646768729027,-1.7491286557451218,0.755742642243836
1778147018585752132,1778147018.5857522,-0.4074966744855479,-0.033923186317201426,0.8092207032259656,-1.8082108151216818,-1.7491280433588308,0.755822796612982
