time_ns,time_s,fx,fy,fz,tx,ty,tz
1778147817560539356,1778147817.5605395,0.29527661914034375,-0.01221665358034774,-0.5864804765497215,-0.07904935383245998,-0.0003053277760587678,-0.09277279963273405
1778147817580431369,1778147817.5804315,0.046191978337553674,0.5192690030405994,-0.4322087676023456,-0.08633485832554691,-0.005161174767369351,-0.0779922596009878
1778147817600515198,1778147817.6005151,-0.1968181828624375,0.2255771422711943,-0.17362883206441676,-0.08178686397290146,-0.010974568036997995,-0.08804778422329397
1778147817620650283,1778147817.6206503,0.12961409196830803,-0.019425931713960284,-0.38728925654454754,-0.08140849654337373,-0.0133058167900749,-0.0909779714287148
1778147817644544330,1778147817.6445444,0.21801816705212096,0.14155023375079004,-0.06446198514766277,-0.08315042750424058,-0.009375278944934947,-0.08177137656689677
1778147817660422268,1778147817.6604223,0.24239852903541745,-0.39130568836538665,-0.5473883572045468,-0.0673941487270475,0.0003639455536849287,-0.09391815598363676
1778147817680374056,1778147817.6803741,0.13287327420942766,0.7801002479810759,-0.25800775162527784,-0.08243553897997236,-0.00663048918640644,-0.07869778324515912
1778147817700387657,1778147817.7003877,-0.10509206850247321,0.14337950795279958,0.14751906493115038,-0.07640710302821173,-0.016979517434257907,-0.08797728831367915
1778147817720434221,1778147817.7204342,-0.19080448981155212,0.1649397412980041,0.02401011970918626,-0.07763203214656864,-0.018599803444944128,-0.08911816492029336
1778147817740798701,1778147817.7407987,0.10959609716252176,-0.011891673750526889,0.25624908555199194,-0.0774896234721546,-0.01865728267688825,-0.08223755987419015
1778147817760698584,1778147817.7606988,0.21626843906280557,-0.11891805293274249,-0.4459004849259091,-0.07994637281865492,-0.006788725083949927,-0.08670849163160622
1778147817780389561,1778147817.7803898,-0.22050198084320516,0.023069527471144394,-0.30478446657834646,-0.07670757233240073,-0.014582714522077822,-0.08040083334381441
1778147817800484617,1778147817.8004847,0.00824096894702291,-0.31432852160937863,0.06843422481191225,-0.06854332283220255,-0.019149433752854123,-0.0952023826620526
1778147817820292734,1778147817.8202927,0.09175427038543754,0.13322878435084767,-0.14596702859730368,-0.07551541584979922,-0.009206723149223382,-0.08927674060866087
1778147817840344300,1778147817.8403444,0.11716918958186295,0.12621138435061216,-0.13270212155281227,-0.07764076243270027,-0.009909033482736626,-0.09776423615970181
1778147817860384097,1778147817.8603842,0.18208340273213974,0.27160249227092026,-0.07085546362742384,-0.07249067486690684,-0.011615063385243088,-0.07891563146788678
1778147817880455527,1778147817.8804555,0.12010035160320158,0.08379279690366546,-0.3656640522571659,-0.08190822363165283,-0.005129137766855171,-0.08532336285720649
1778147817900896336,1778147817.9008963,-0.16343289433218877,0.20233234849223838,-0.05607889124918573,-0.07605532358962983,-0.017102794028881135,-0.07091785122835954
1778147817922615596,1778147817.9226158,0.10334140034854866,-0.10267899382019587,-0.018284443065282645,-0.06887365032566825,-0.009430074553683897,-0.08902399271426337
1778147817940453622,1778147817.9404538,0.009917657834144278,0.3405848383291048,-0.286206859818836,-0.0833635219668406,-0.002059833610193632,-0.07014529493017288
1778147817960489465,1778147817.9604895,0.13637051500016673,0.08025511835913483,-0.38075105385855335,-0.09147022563726775,-0.005001100534236728,-0.08835940921339613
1778147817980431003,1778147817.9804313,0.18216185950222774,0.5565609833934331,-0.4033287152328144,-0.08604043623091404,-0.009152986134417486,-0.07517022195428165
1778147818000415823,1778147818.0004158,0.019661936968337665,-0.47094790661698094,-0.21881898567951868,-0.07385795238672471,-0.005646178466256431,-0.09756041896480191
1778147818022807349,1778147818.0228074,0.04825960138315825,-0.10278118452555073,-0.11403514373091647,-0.07520014947929742,-0.02303558106658292,-0.0955375990292455
1778147818040614003,1778147818.040614,-0.3161320445270397,-0.12264238098867745,-0.2551129042101888,-0.07488150980765064,-0.02247106588343286,-0.08562362772224896
1778147818060298301,1778147818.0602984,-0.35184014805407937,0.42324659336637765,-0.08838681941728385,-0.08509255602438356,-0.017093139269803524,-0.07257339762206548
1778147818080499410,1778147818.0804996,-0.1477680710714327,0.22747632732233178,-0.22198889299102478,-0.07838148019553619,-0.01671784469993982,-0.07767600406472161
1778147818101124114,1778147818.1011243,0.0866753920715232,0.420575469039123,-0.07436221055131566,-0.0853041933433007,-0.012807265636261642,-0.08145235321235211
